docs,validdate,text
BayFAGDV_Alt.html,01.02.2017,"
    
    Durchführungsverordnung zu Art. 7 Abs. 4 Finanzausgleichsgesetz (Altlasten FAG-Durchführungsverordnung – FAG DV-Altlasten)Vom 10. Mai 2001(GVBl. S. 265)BayRS 605-15-U 
    Vollzitat nach RedR: Altlasten FAG-Durchführungsverordnung (FAG DV-Altlasten) vom 10. Mai 2001 (GVBl. S. 265, BayRS 605-15-U), die zuletzt durch § 1 der Verordnung vom 13. Januar 2017 (GVBl. S. 14, 36) geändert worden ist
    
      Auf Grund des Art. 23 Abs. 4 des Finanzausgleichsgesetzes (FAG) in der Fassung der Bekanntmachung vom 13. März 2001 (GVBl S. 80, BayRS 605-1-F) erlässt das Bayerische Staatsministerium für Landesentwicklung und Umweltfragen im Einvernehmen mit dem Bayerischen Staatsministerium der Finanzen folgende Verordnung:
    
    
    
    
    
    
    
    
    
    
  
"
BayFakaLwV.html,01.09.2022,"
    
    Verordnung über die staatlichen agrarwirtschaftlichen und forstwirtschaftlichen Fachschulen und über die staatliche Fachakademie für Landwirtschaft (Agrarfachschulverordnung – AgrFSchV)Vom 19. Juli 1993(GVBl. S. 560)BayRS 7803-3-L 
    Vollzitat nach RedR: Agrarfachschulverordnung (AgrFSchV) vom 19. Juli 1993 (GVBl. S. 560, BayRS 7803-3-L), die zuletzt durch § 2 der Verordnung vom 28. Juli 2022 (GVBl. S. 514) geändert worden ist
    
      Auf Grund von Art. 20 Abs. 1 und Art. 91 Satz 1 des Bayerischen Gesetzes über das Erziehungs- und Unterrichtswesen (BayEUG) erläßt das Bayerische Staatsministerium für Ernährung, Landwirtschaft und Forsten folgende Verordnung:
    
    
    
    
    
    
    
  
"
BayGBGA.html,01.05.2018,"
    
     3151-JGeschäftsanweisung für die Behandlung der Grundbuchsachen (GBGA) Bekanntmachung des Bayerischen Staatsministeriums der Justizvom 16. Oktober 2006, Az. 3851 - I - 8967/2006(JMBl. S. 182)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Justiz über die Geschäftsanweisung für die Behandlung der Grundbuchsachen (GBGA) vom 16. Oktober 2006 (JMBl. S. 182), die zuletzt durch Bekanntmachung vom 18. April 2018 (JMBl. S. 22) geändert worden ist
    
    
  
"
BayPKHGDB.html,01.01.2021,"
    
     3102-JDurchführungsbestimmungen zur Prozess- und Verfahrenskostenhilfe sowie zur Stundung der Kosten des Insolvenzverfahrens (DB-PKH) Bekanntmachung des Bayerischen Staatsministeriums der Justizvom 16. November 2001, Az. 3715 - VI - 1145/98(JMBl. 2002 S. 10)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Justiz über die Durchführungsbestimmungen zur Prozess- und Verfahrenskostenhilfe sowie zur Stundung der Kosten des Insolvenzverfahrens (DB-PKH) vom 16. November 2001 (JMBl. 2002 S. 10), die zuletzt durch Bekanntmachung vom 21. Mai 2021 (BayMBl. Nr. 394) geändert worden ist
    
      Die Landesjustizverwaltungen haben die Durchführungsbestimmungen zur Prozess- und Verfahrenskostenhilfe sowie zur Stundung der Kosten des Insolvenzverfahrens abgestimmt. Diese gelten nach folgender Maßgabe für den Geschäftsbereich des Bayerischen Staatsministeriums der Justiz:
    
    
      
         Vorbemerkung: 
      
      1.
        
          Dieser Verwaltungsvorschrift liegen zwei Tabellen als Anlagen an. Den Tabellen können die voraussichtlich entstehenden Verfahrenskosten in den dort genannten Verfahren entnommen werden (Anlage 1 für Klageverfahren vor den ordentlichen Gerichten I. und II. Instanz, Anlage 2 für familiengerichtliche Verfahren I. Instanz). Die Kosten setzen sich aus den bei einem normalen Verfahrensablauf entstehenden Gerichtsgebühren (Gebühr für das Verfahren im Allgemeinen) sowie den Gebühren für die Vertretung durch einen Prozessbevollmächtigten (Nrn. 3100 und 3104 bzw. Nrn. 3200 und 3202 VV-RVG) zuzüglich Auslagenpauschale und Umsatzsteuer zusammen. Voraussichtlich entstehende weitere Kosten sind dem jeweiligen Kostenbetrag der Tabellen hinzuzurechnen.
        
        
        2.
        
          Soweit nachfolgend Vorschriften der Zivilprozessordnung für die Prozesskostenhilfe zitiert werden, gelten diese gemäß § 76 Abs. 1 FamFG für die Verfahrenskostenhilfe entsprechend. An die Stelle der zivilprozessualen Verfahrensbezeichnungen (Partei, Kläger usw.) treten die entsprechenden Begriffe des FamFG (Beteiligter, Antragsteller usw.).
        
        
      
    
    
    
    
  
"
BaySalKonvVertr.html,08.07.1958,"
    Abkommen zwischen dem Freistaat Bayern und der Republik Österreich über die Anwendung der SalinenkonventionVom 25. März 1957[1]
    Vollzitat nach RedR: Abkommen zwischen dem Freistaat Bayern und der Republik Österreich über die Anwendung der Salinenkonvention in der in der Bayerischen Rechtssammlung (BayRS 01-10-1-W) veröffentlichten bereinigten Fassung
    Der Freistaat Bayern und die Republik Österreich, vom Wunsch geleitet, die durch das Münchener Traktat vom 14. April 1816 und durch die Konvention zwischen Bayern und Österreich über die beiderseitigen Salinenverhältnisse vom 18. März 1829 (im folgenden als Salinenkonvention bezeichnet) geregelten Angelegenheiten den geänderten Verhältnissen anzupassen, sind wie folgt übereingekommen:
    
    
    
    
    
    
  [1] Der Staatsvertrag wurde ratifiziert in:Bayern: Bek. v. 21.7.1958 (BayRS II S. 18).
"
BayVV_1300_I_11360.html,01.09.2020,"
    
  
  
  
    
      
      
        1300-IAllgemeine Verwaltungsvorschrift zur Ausführung des Bayerischen Sicherheitsüberprüfungsgesetzes (VVBaySÜG)
        
					
					Bekanntmachung des Bayerischen Staatsministeriums des Innern, für Sport und Integrationvom 3. August 2020, Az. E5-1673-1-12
        (BayMBl. Nr. 484)
        Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums des Innern, für Sport und Integration über die Allgemeine Verwaltungsvorschrift zur Ausführung des Bayerischen Sicherheitsüberprüfungsgesetzes (VVBaySÜG) vom 3. August 2020 (BayMBl. Nr. 484)
        
        
        
        
        
        
        
        
        
        
      
    
  

"
BayVV_2021_I_10806.html,01.01.2020,"
    
  
  
  
    
      
      
        2021-IAllgemeine Gemeinde- und Landkreiswahlen am 15. März 2020; Meldung der Wahlergebnisse für statistische Zwecke
        
					
					Bekanntmachung des Bayerischen Landesamts für Statistikvom 5. November 2019, Az. 14-1367.1-1/6
        (BayMBl. Nr. 522)
        Zitiervorschlag: Bekanntmachung des Bayerischen Landesamts für Statistik über die Allgemeinen Gemeinde- und Landkreiswahlen am 15. März 2020; Meldung der Wahlergebnisse für statistische Zwecke vom 5. November 2019 (BayMBl. Nr. 522)
        
          
			
				1Nach Art. 56 Abs. 1 Satz 2 des Gemeinde- und Landkreiswahlgesetzes (GLKrWG) haben die Gemeinden und die Landkreise dem Landesamt für Statistik die für die statistische Bearbeitung der Ergebnisse der Wahlen erforderlichen Angaben zur Verfügung zu stellen. 2Die Wahlvorstände, die Briefwahlvorstände, die Gemeinden und die Landratsämter haben nach § 88 der Gemeinde- und Landkreiswahlordnung (GLKrWO) Schnellmeldungen zu erstatten. 3Bei Mitgliedsgemeinden tritt an deren Stelle die Verwaltungsgemeinschaft. 4Die Gemeinden und die Landratsämter werden gebeten, wie folgt zu verfahren:
		
    
  

"
BayVV_2030_10_F_198.html,01.01.2012,"
    
    2030.10-FSatzung für die Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern Bekanntmachung des Bayerischen Staatsministeriums der Finanzenvom 8. Juni 1977, Az. 26 - P 3275/3 - 12/79 - 25 713(FMBl. S. 218)(StAnz. Nr. 26)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Finanzen über die Satzung für die Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern vom 8. Juni 1977 (FMBl. S. 218, StAnz. Nr. 26), die zuletzt durch Bekanntmachung vom 30. Januar 2012 (FMBl. S. 30) geändert worden ist
    
      Aufgrund von Art. 4 des Gesetzes über die Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern (BayFHVRG) beschließt der Rat der Fachhochschule folgende Satzung:
    
    
    
    
    
    
    
  
"
BayVV_2030_2_3_K_11961.html,08.04.2021,"
    
    2030.2.3-KRichtlinien für die Beurteilung und Leistungsfeststellung der Beamten und Beamtinnen im Geschäftsbereich des Bayerischen Staatsministeriums für Unterricht und Kultus Bekanntmachung des Bayerischen Staatsministeriums für Unterricht und Kultusvom 24. März 2021, Az. II.5-BP4010.2/23/17(BayMBl. Nr. 272)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums für Unterricht und Kultus über die Richtlinien für die Beurteilung und Leistungsfeststellung der Beamten und Beamtinnen im Geschäftsbereich des Bayerischen Staatsministeriums für Unterricht und Kultus vom 24. März 2021 (BayMBl. Nr. 272)
    
      Auf Grund von Art. 55 Abs. 3, Art. 56 Abs. 3 Satz 2, Art. 58 Abs. 6 Satz 1 und 2, Art. 59 Abs. 1 Satz 2, Art. 60 Abs. 2 Satz 4, Art. 62 Abs. 6, Art. 64 Satz 1 in Verbindung mit Art. 3 Abs. 2 des Gesetzes über die Leistungslaufbahn und die Fachlaufbahnen der bayerischen Beamten und Beamtinnen (Leistungslaufbahngesetz – LlbG) vom 5. August 2010 (GVBl. S. 410, 571, BayRS 2030-1-4-F), das zuletzt durch Gesetz vom 24. Juli 2020 (GVBl. S. 368) geändert worden ist, und Art. 15 Halbsatz 2 des Bayerischen Beamtengesetzes (BayBG) vom 29. Juli 2008 (GVBl. S. 500, BayRS 2030-1-1-F), das zuletzt durch § 1 des Gesetzes vom 23. Dezember 2019 (GVBl. S. 724) geändert worden ist, sowie Abschnitt 3 Nr. 1.3 der Bekanntmachung des Bayerischen Staatsministeriums der Finanzen zu Verwaltungsvorschriften zum Beamtenrecht (VV-BeamtR) vom 13. Juli 2009 (FMBl. S. 190, StAnz. Nr. 35), das zuletzt durch Bekanntmachung vom 19. Oktober 2017 (FMBl. S. 510) geändert worden ist, erlässt das Bayerische Staatsministerium für Unterricht und Kultus im Einvernehmen mit dem Bayerischen Staatsministerium der Finanzen und für Heimat folgende ergänzende Richtlinien für die Beurteilung und Leistungsfeststellung:
    
    
    
    
    
  
"
BayVV_2030_2_3_K_12038.html,13.05.2021,"
    
    2030.2.3-KRichtlinien für die dienstliche Beurteilung und die Leistungsfeststellung der staatlichen Lehrkräfte sowie der Schulleiterinnen und Schulleiter an Schulen in Bayern Bekanntmachung des Bayerischen Staatsministeriums für Unterricht und Kultusvom 27. April 2021, Az. II.5-BP4010.2/23/19(BayMBl. Nr. 332)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums für Unterricht und Kultus über die Richtlinien für die dienstliche Beurteilung und die Leistungsfeststellung der staatlichen Lehrkräfte sowie der Schulleiterinnen und Schulleiter an Schulen in Bayern vom 27. April 2021 (BayMBl. Nr. 332)
    
      Auf Grund von Art. 64 Satz 1 in Verbindung mit Art. 56 Abs. 3 Satz 2 in Verbindung mit Art. 3 Abs. 2 des Gesetzes über die Leistungslaufbahn und die Fachlaufbahnen der bayerischen Beamten und Beamtinnen (Leistungslaufbahngesetz – LlbG) vom 5. August 2010 (GVBl. S. 410, 571, BayRS 2030-1-4-F), das zuletzt durch Gesetz vom 24. Juli 2020 (GVBl. S. 368) geändert worden ist, und Art. 15 Halbsatz 2 des Bayerischen Beamtengesetzes (BayBG) vom 29. Juli 2008 (GVBl. S. 500, BayRS 2030-1-1-F), das zuletzt durch § 1 des Gesetzes vom 23. Dezember 2019 (GVBl. S. 724) geändert worden ist, sowie Abschnitt 3 Nr. 1.3 der Bekanntmachung des Bayerischen Staatsministeriums der Finanzen zu Verwaltungsvorschriften zum Beamtenrecht (VV-BeamtR) vom 13. Juli 2009 (FMBl. S. 190, StAnz. Nr. 35), die zuletzt durch Bekanntmachung vom 19. Oktober 2017 (FMBl. S. 510) geändert worden ist, erlässt das Bayerische Staatsministerium für Unterricht und Kultus im Einvernehmen mit dem Bayerischen Staatsministerium der Finanzen und für Heimat folgende ergänzende Richtlinien für die Beurteilung und Leistungsfeststellung:
    
    
    
    
    
    
  
"
BayVV_2032_4_F_1034.html,01.04.2020,"
    
  
  
  
    
      
      
        2032.4-FAllgemeine Verwaltungsvorschrift zum Bayerischen Reisekostengesetz (VV-BayRKG)
        
					
					Bekanntmachung des Bayerischen Staatsministeriums der Finanzen, für Landesentwicklung und Heimatvom 28. September 2017, Az. 24-P 1700-2/3
        (FMBl. S. 459)
        Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Finanzen, für Landesentwicklung und Heimat über die Allgemeine Verwaltungsvorschrift zum Bayerischen Reisekostengesetz (VV-BayRKG) vom 28. September 2017 (FMBl. S. 459), die durch Bekanntmachung vom 11. März 2020 (BayMBl. Nr. 134) geändert worden ist
        
          
			Auf Grund des Art. 25 Nr. 3 des Bayerischen Reisekostengesetzes (BayRKG) vom 24. April 2001 (GVBl. S. 133, BayRS 2032-4-1-F), das zuletzt durch § 5 des Gesetzes vom 13. Dezember 2016 (GVBl. S. 354) geändert worden ist, erlässt das Bayerische Staatsministerium der Finanzen, für Landesentwicklung und Heimat folgende allgemeine Verwaltungsvorschrift:
		
    
  

"
BayVV_2032_4_F_11288.html,01.01.2020,"
    
  
  
  
    
      
      
        2032.4-FSteuerliche Behandlung von Reisekostenvergütungen und Trennungsgeldern sowie Auslagenersatz nach Art. 12 Bayerisches Umzugskostengesetz aus öffentlichen Kassen (Abrechnungsbekanntmachung – AbBek)
        
					
					Bekanntmachung des Bayerischen Staatsministeriums der Finanzen und für Heimatvom 26. Juni 2020, Az. 24/34-P 1700-1/64
        (BayMBl. Nr. 415)
        Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Finanzen und für Heimat über die Steuerliche Behandlung von Reisekostenvergütungen und Trennungsgeldern sowie Auslagenersatz nach Art. 12 Bayerisches Umzugskostengesetz aus öffentlichen Kassen (Abrechnungsbekanntmachung – AbBek) vom 26. Juni 2020 (BayMBl. Nr. 415)
        
        
        
        
        
        
        
      
    
  

"
BayVV_2033_F_794.html,01.01.2011,"
    
     2033-FBayerische Verwaltungsvorschriften zum Versorgungsrecht (BayVV-Versorgung) Bekanntmachung des Bayerischen Staatsministeriums der Finanzenvom 20. September 2012, Az. 24 - P 1601 - 043 - 38 950/11(FMBl. S. 394)
    
    
    
    
  
"
BayVV_2038_3_7_W_195.html,08.03.2018,"
    
  
  
  
    
      
      
        2038.3.7-WAbkommen über einheitliche Ausbildung, Prüfung und Zusammenarbeit im Bereich des gesetzlichen Messwesens (Akademie-Abkommen)
        
					
					Bekanntmachung des Bayerischen Staatsministeriums für Wirtschaft, Energie und Technologievom 8. August 2018, Az. 35-6902/13/3
        (AllMBl. S. 560)
        Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums für Wirtschaft, Energie und Technologie über das Abkommen über einheitliche Ausbildung, Prüfung und Zusammenarbeit im Bereich des gesetzlichen Messwesens (Akademie-Abkommen) vom 8. August 2018 (AllMBl. S. 560)
        
          
			1.Die Regierungen der Länder der Bundesrepublik Deutschland haben das Abkommen über einheitliche Ausbildung, Prüfung und Zusammenarbeit im Bereich des gesetzlichen Messwesens (Akademie-Abkommen) abgeschlossen, das an die Stelle des Abkommens über einheitliche Ausbildung und Prüfung im Bereich des gesetzlichen Messwesens – Akademie-Abkommen – vom 1. Januar 1992 tritt. Das am 8. März 2018 in Kraft getretene Abkommen, ergänzt um eine Protokollnotiz, wird in der Anlage bekannt gemacht.
				2.Die Bekanntmachung des Bayerischen Staatsministeriums für Wirtschaft und Verkehr über das Abkommen über einheitliche Ausbildung und Prüfung im Bereich des gesetzlichen Messwesens – Akademie-Abkommen – vom 30. Juni 1992 (AllMBl. S. 563) tritt mit Ablauf des 7. März 2018 außer Kraft.
			 
			 
			Dr. Bernhard Schwab
			Ministerialdirektor
			 
		
    
  

"
BayVV_2126_8_2_G_13153.html,13.07.2022,"
    
  
  
  
    
      
      
        2126.8.2-G48. Jahreskrankenhausbauprogramm 2022 des Freistaates Bayern
        
					Gemeinsame Bekanntmachung der Bayerischen Staatsministerien für Gesundheit und Pflege sowie der Finanzen und für Heimatvom 5. Juli 2022, Az. 22c-K9342-2021/2-14 und 62-FV 6800.10-1/63
        (BayMBl. Nr. 421)
        Zitiervorschlag: Gemeinsame Bekanntmachung der Bayerischen Staatsministerien für Gesundheit und Pflege sowie der Finanzen und für Heimat über die 48. Jahreskrankenhausbauprogramm 2022 des Freistaates Bayern vom 5. Juli 2022 (BayMBl. Nr. 421), die durch Bekanntmachung vom 19. September 2022 (BayMBl. Nr. 565) geändert worden ist
        
        
        
        
        
        
        
        
        
        
      
    
  

"
BayVV_2126_G_13083.html,01.06.2022,"
    
    2126-GBußgeldkatalog „Corona-Pandemie“ Bekanntmachung des Bayerischen Staatsministeriums für Gesundheit und Pflegevom 31. Mai 2022, Az. G51x-G8000-2022/44-260(BayMBl. Nr. 330)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums für Gesundheit und Pflege über den Bußgeldkatalog „Corona-Pandemie“ vom 31. Mai 2022 (BayMBl. Nr. 330)
    
    
    
    
  
"
BayVV_2129_0_U_13168.html,01.08.2022,"
    
     2129.0-URichtlinien für die Förderung von Projekten der Bildung für nachhaltige Entwicklung und Umweltbildung in Bayern (FöR-PrBNE) Bekanntmachung des Bayerischen Staatsministeriums für Umwelt und Verbraucherschutzvom 14. Juli 2022, Az. 66-U8040-2021/88-68(BayMBl. Nr. 434)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums für Umwelt und Verbraucherschutz über die Richtlinien für die Förderung von Projekten der Bildung für nachhaltige Entwicklung und Umweltbildung in Bayern (FöR-PrBNE) vom 14. Juli 2022 (BayMBl. Nr. 434)
    
       1Das Bayerische Staatsministerium für Umwelt und Verbraucherschutz (StMUV) gewährt im Einvernehmen mit dem Bayerischen Staatsministerium der Finanzen und für Heimat und nach Anhörung des Bayerischen Obersten Rechnungshofes nach Maßgabe dieser Richtlinien und der allgemeinen haushaltsrechtlichen Bestimmungen, insbesondere der Art. 23 und 44 der Bayerischen Haushaltsordnung (BayHO) und der dazu erlassenen Verwaltungsvorschriften, Zuwendungen an Umweltbildungseinrichtungen für Projekte zur Schaffung von Bildungsangeboten für nachhaltige Entwicklung und Umweltbildung (Bildungsangebote BNE/UB) in Bayern. 2Es werden nur nichtwirtschaftliche Tätigkeiten gefördert. 3Die Förderung erfolgt ohne Rechtsanspruch im Rahmen der verfügbaren Haushaltsmittel.
    
    
    
    
    
    
  
"
